epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5308.06,0.4463,0.38793,0.9412,0.97649,0.96836,0.96933,0.94279,0.27685,0.26285,0.80349,0.000655625,0.000655625,0.000655625
43,5441.75,0.42262,0.3628,0.92906,0.98895,0.96836,0.96992,0.9504,0.25134,0.23824,0.79603,0.000636762,0.000636762,0.000636762
44,5571.38,0.43471,0.3783,0.93741,0.98067,0.96155,0.97157,0.94952,0.24153,0.23978,0.78949,0.0006179,0.0006179,0.0006179
45,5697.2,0.3992,0.34545,0.9201,0.98065,0.96836,0.96945,0.95656,0.23927,0.23814,0.79365,0.000599037,0.000599037,0.000599037
46,5831.39,0.41418,0.35669,0.92064,0.98324,0.96836,0.96824,0.94906,0.23373,0.23367,0.79208,0.000580174,0.000580174,0.000580174
47,5957.56,0.41101,0.34965,0.92596,0.98431,0.96836,0.97024,0.94695,0.25268,0.22391,0.79771,0.000561311,0.000561311,0.000561311
48,6083.36,0.40049,0.35656,0.92049,0.98488,0.96836,0.97092,0.95347,0.24655,0.22132,0.79188,0.000542448,0.000542448,0.000542448
49,6210.82,0.40221,0.34743,0.92856,0.97645,0.96808,0.97092,0.95564,0.2482,0.2271,0.79696,0.000523586,0.000523586,0.000523586
50,6341.22,0.39957,0.34282,0.93167,0.98,0.95836,0.97002,0.95266,0.2419,0.23151,0.79319,0.000504723,0.000504723,0.000504723
51,6469.08,0.41759,0.35921,0.9287,0.98137,0.96836,0.96964,0.95188,0.25167,0.23067,0.79539,0.00048586,0.00048586,0.00048586
52,6603.54,0.40906,0.34426,0.93336,0.98079,0.96062,0.96976,0.94974,0.24991,0.23596,0.79972,0.000466997,0.000466997,0.000466997
53,6736.1,0.39059,0.33448,0.91948,0.97362,0.96014,0.97031,0.95447,0.23924,0.23053,0.79751,0.000448134,0.000448134,0.000448134
54,6864.86,0.39229,0.33686,0.93091,0.97362,0.96057,0.96627,0.94799,0.23314,0.24128,0.79289,0.000429272,0.000429272,0.000429272
55,6992.52,0.38472,0.33526,0.91706,0.98163,0.96836,0.96806,0.95581,0.2217,0.21796,0.78804,0.000410409,0.000410409,0.000410409
56,7120.95,0.38648,0.33885,0.93419,0.98311,0.96836,0.96728,0.95935,0.22548,0.20983,0.78888,0.000391546,0.000391546,0.000391546
