epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7196.34,0.41134,0.34375,0.92723,0.98823,0.984,0.98939,0.97971,0.22439,0.20414,0.76403,0.000655625,0.000655625,0.000655625
43,7363.35,0.39698,0.33206,0.91339,0.9916,0.98975,0.9895,0.97735,0.21322,0.18366,0.76815,0.000636762,0.000636762,0.000636762
44,7530.24,0.40529,0.34113,0.92742,0.99809,0.98975,0.98976,0.97768,0.21847,0.17855,0.76945,0.0006179,0.0006179,0.0006179
45,7698.09,0.4036,0.33724,0.91531,0.99346,0.98975,0.98963,0.97629,0.21237,0.1814,0.77296,0.000599037,0.000599037,0.000599037
46,7864.95,0.39082,0.33351,0.91821,0.99109,0.98975,0.98924,0.97968,0.21601,0.17648,0.77233,0.000580174,0.000580174,0.000580174
47,8031.92,0.36464,0.31529,0.90048,0.99258,0.984,0.98888,0.97323,0.21566,0.18647,0.77052,0.000561311,0.000561311,0.000561311
48,8198.48,0.38249,0.32579,0.91234,0.98458,0.98975,0.98942,0.98087,0.21201,0.18574,0.76805,0.000542448,0.000542448,0.000542448
49,8373.76,0.37277,0.31345,0.91007,0.99772,0.98956,0.9898,0.9781,0.22163,0.16874,0.77538,0.000523586,0.000523586,0.000523586
50,8553.79,0.38776,0.32446,0.91771,0.99118,0.984,0.98946,0.97998,0.20154,0.18295,0.7662,0.000504723,0.000504723,0.000504723
51,8732.01,0.37596,0.32433,0.91288,0.98898,0.98939,0.98978,0.98031,0.21575,0.19423,0.76847,0.00048586,0.00048586,0.00048586
52,8916.92,0.37204,0.32113,0.91145,0.99853,0.98975,0.98992,0.98156,0.20377,0.17181,0.76794,0.000466997,0.000466997,0.000466997
53,9084.74,0.36969,0.31222,0.90805,0.99807,0.98975,0.99006,0.98337,0.20663,0.16889,0.76659,0.000448134,0.000448134,0.000448134
54,9255.6,0.35979,0.30544,0.90501,0.99862,0.98975,0.99008,0.97949,0.20636,0.16426,0.76795,0.000429272,0.000429272,0.000429272
55,9422.86,0.36236,0.31048,0.89985,0.99712,0.98975,0.99004,0.98183,0.20841,0.16596,0.76471,0.000410409,0.000410409,0.000410409
56,9589.84,0.3612,0.29587,0.90286,0.99887,0.98975,0.99025,0.985,0.19742,0.16644,0.76761,0.000391546,0.000391546,0.000391546
